case_id,clean_clip_margin,clean_l2,clean_original_path,clean_output_path,clean_psnr,clean_quality_label,clean_ssim,existing_facial_hair,existing_glasses,face_id,guidance_scale,image_guidance_scale,image_path,num_inference_steps,phase,priority_group,prompt,prompt_priority,prompt_slug,prompt_type,reason_selected,reject_reason,seed,selected_for_breadth_probe
face_001__add_a_small_beard__igs_1p00,0.029749155044555664,0.07732354885291948,phase3/outputs/clean_discovery/cases/face_001/add_a_small_beard/igs_1p00/original.png,phase3/outputs/clean_discovery/cases/face_001/add_a_small_beard/igs_1p00/clean_edit.png,22.233764434858614,clean_success_candidate,0.7921778559684753,False,False,face_001,7.5,1.0,data/face_001/instruct_512.png,20,phase3_clean_discovery,baseline_reference,add a small beard,4,add_a_small_beard,beard,selected_for_phase3b_breadth_probe,,1234,True
face_001__make_the_person_smile_slightly__igs_1p50,0.020921379327774048,0.06939803955546348,phase3/outputs/clean_discovery/cases/face_001/make_the_person_smile_slightly/igs_1p50/original.png,phase3/outputs/clean_discovery/cases/face_001/make_the_person_smile_slightly/igs_1p50/clean_edit.png,23.173055957551327,clean_success_candidate,0.8177469372749329,False,False,face_001,7.5,1.5,data/face_001/instruct_512.png,20,phase3_clean_discovery,baseline_reference,make the person smile slightly,9,make_the_person_smile_slightly,smile,selected_for_phase3b_breadth_probe,,1234,True
face_002__add_headphones__igs_1p00,0.05116361379623413,0.09326196840262826,phase3/outputs/clean_discovery/cases/face_002/add_headphones/igs_1p00/original.png,phase3/outputs/clean_discovery/cases/face_002/add_headphones/igs_1p00/clean_edit.png,20.605908449863417,clean_success_candidate,0.7684636116027832,False,False,face_002,7.5,1.0,data/face_002/instruct_512.png,20,phase3_clean_discovery,primary,add headphones,1,add_headphones,headphones,selected_for_phase3b_breadth_probe,,1234,True
face_002__add_headphones__igs_1p50,0.04682642221450806,0.05550573444100713,phase3/outputs/clean_discovery/cases/face_002/add_headphones/igs_1p50/original.png,phase3/outputs/clean_discovery/cases/face_002/add_headphones/igs_1p50/clean_edit.png,25.11324292946177,clean_success_candidate,0.7873823046684265,False,False,face_002,7.5,1.5,data/face_002/instruct_512.png,20,phase3_clean_discovery,primary,add headphones,1,add_headphones,headphones,selected_for_phase3b_breadth_probe,,1234,True
face_002__add_black_sunglasses__igs_1p50,0.04853600263595581,0.10851654285786996,phase3/outputs/clean_discovery/cases/face_002/add_black_sunglasses/igs_1p50/original.png,phase3/outputs/clean_discovery/cases/face_002/add_black_sunglasses/igs_1p50/clean_edit.png,19.290081010642705,clean_success_candidate,0.7757696509361267,False,False,face_002,7.5,1.5,data/face_002/instruct_512.png,20,phase3_clean_discovery,primary,add black sunglasses,2,add_black_sunglasses,glasses,selected_for_phase3b_breadth_probe,,1234,True
face_002__add_a_hoodie__igs_1p00,0.04749709367752075,0.20097153141111998,phase3/outputs/clean_discovery/cases/face_002/add_a_hoodie/igs_1p00/original.png,phase3/outputs/clean_discovery/cases/face_002/add_a_hoodie/igs_1p00/clean_edit.png,13.937309162705581,clean_success_candidate,0.5322412252426147,False,False,face_002,7.5,1.0,data/face_002/instruct_512.png,20,phase3_clean_discovery,primary,add a hoodie,7,add_a_hoodie,clothing,selected_for_phase3b_breadth_probe,,1234,True
face_003__add_headphones__igs_1p00,0.045783042907714844,0.12274178647683645,phase3/outputs/clean_discovery/cases/face_003/add_headphones/igs_1p00/original.png,phase3/outputs/clean_discovery/cases/face_003/add_headphones/igs_1p00/clean_edit.png,18.2201511991115,clean_success_candidate,0.6958953738212585,False,False,face_003,7.5,1.0,data/face_003/instruct_512.png,20,phase3_clean_discovery,primary,add headphones,1,add_headphones,headphones,selected_for_phase3b_breadth_probe,,1234,True
face_003__add_headphones__igs_1p50,0.04772844910621643,0.051384460967980924,phase3/outputs/clean_discovery/cases/face_003/add_headphones/igs_1p50/original.png,phase3/outputs/clean_discovery/cases/face_003/add_headphones/igs_1p50/clean_edit.png,25.783363898754843,clean_success_candidate,0.7845320105552673,False,False,face_003,7.5,1.5,data/face_003/instruct_512.png,20,phase3_clean_discovery,primary,add headphones,1,add_headphones,headphones,selected_for_phase3b_breadth_probe,,1234,True
face_003__add_black_sunglasses__igs_1p50,0.04381856322288513,0.11075591804518582,phase3/outputs/clean_discovery/cases/face_003/add_black_sunglasses/igs_1p50/original.png,phase3/outputs/clean_discovery/cases/face_003/add_black_sunglasses/igs_1p50/clean_edit.png,19.112661174657624,clean_success_candidate,0.7603592276573181,False,False,face_003,7.5,1.5,data/face_003/instruct_512.png,20,phase3_clean_discovery,primary,add black sunglasses,2,add_black_sunglasses,glasses,selected_for_phase3b_breadth_probe,,1234,True
face_003__add_a_small_beard__igs_1p00,0.030473262071609497,0.17197010270171934,phase3/outputs/clean_discovery/cases/face_003/add_a_small_beard/igs_1p00/original.png,phase3/outputs/clean_discovery/cases/face_003/add_a_small_beard/igs_1p00/clean_edit.png,15.290940987461488,clean_success_candidate,0.5189208388328552,False,False,face_003,7.5,1.0,data/face_003/instruct_512.png,20,phase3_clean_discovery,primary,add a small beard,4,add_a_small_beard,beard,selected_for_phase3b_breadth_probe,,1234,True
face_004__add_black_sunglasses__igs_2p00,0.04381144046783447,0.06900176595353506,phase3/outputs/clean_discovery/cases/face_004/add_black_sunglasses/igs_2p00/original.png,phase3/outputs/clean_discovery/cases/face_004/add_black_sunglasses/igs_2p00/clean_edit.png,23.222795885526967,clean_success_candidate,0.7790519595146179,False,False,face_004,7.5,2.0,data/face_004/instruct_512.png,20,phase3_clean_discovery,primary,add black sunglasses,2,add_black_sunglasses,glasses,selected_for_phase3b_breadth_probe,,1234,True
